ABAISSER	Se baisser.
LUSTREUR	Instrument qui lustre, qui donne du brillant aux étoffes, fourrures, glaces et autres objets.
LUSTRINE	Manche de lustrine.
LUSTROIR	Lustreur.
LUSTUCRU	Personnage niais.
LUTHERIE	Profession de luthier.
LUTHISTE	Personne qui fait profession de jouer du luth, ou qui, n’étant qu’amateur, en joue avec plus ou moins de talent.
LUTRAIRE	Mollusque bivalve vivant dans la vase des estuaires.
LUTTEUSE	Celle qui combat à la lutte.
LUXATION	Déplacement.
LYCOPODE	Poudre d'enrobage des pilules.
LYDIENNE	Habitante de la Lydie.
LYMPHOME	Tumeur composée de tissu adénoïde typique, c'est-à-dire tumeur d’un tissu ou d’un organe lymphoïde.
LYNCHAGE	Action de lyncher.
LYNCHEUR	Qui participe ou pousse à un lynchage, concerne le lynchage.
LYONNAIS	Qui concerne Lyon et ses habitants.
LYOPHILE	Qui présente une affinité avec un solvant donné.
LYOPHOBE	Qui ne présente pas d’affinité avec un solvant donné.
LYSOSOME	Organite cellulaire effectuant la digestion intracellulaire, et présent dans le cytosol de toutes les cellules eucaryotes animales, à l'exception des globules rouges.
LYSOZYME	Enzyme bactéricide présente dans les sécrétions (larmes, salive, lait…) de nombreuses espèces animales et dans le blanc d’œuf.
MACANAIS	Habitant ou natif de Macao.
MACAREUX	Oiseau marin de la famille des alcidés au plumage noir et blanc et au bec coloré, vivant en colonies dans les régions tempérées fraîches de l'Atlantique et du Pacifique nord.
MACARONI	Italien.
MACASSAR	Capitale de province de Sulawesi Sud, en Indonésie.
MACHETTE	Long couteau muni d’une lame épaisse mesurant environ 40 centimètres de long et au manche court, servant généralement à se frayer un chemin dans les régions à végétation dense, à ouvrir des fruits à coque dure comme la noix de coco, à tailler les feuilles de palmier, etc., aussi utilisé comme arme blanche.
MACHICOT	Officier dans une église, inférieur aux bénéficiers, mais supérieur aux chantres à gages.
MACHINAL	Qui est semblable au jeu d’une machine, qui est produit par pur mécanisme, sans intention ni réflexion. Sans réfléchir, de manière habituelle. Automatique.
MACHINER	Munir de certains appareils.
MACHISME	Philosophie des sciences d’Ernst Mach.
MACHISTE	Tenant du machisme, pensée d’Ernst Mach.
MACHURER	Serrer fortement de manière à laisser des marques de la pression.
MACQUAGE	Action de macquer, de rompre (le chanvre ou le lin) pour les rendre propres à être teillés, à l'aide d’une macque ou maque.
MACREUSE	Sorte de canard sauvage.
MACROULE	Foulque macroule, .
MACROURE	Qui a une longue queue.
MACULAGE	Action de maculer.
MACULEUX	Caractérisé par la présence d’une ou plusieurs macule(s), en parlant d’une affection cutanée.
MADICOLE	Qualifie cet habitat.
MADRAGUE	Enceinte faite de câbles et de filets destinée à capturer des thons.
MADRIGAL	Nom de famille.
MAESTOSO	Avec majesté, .
MAESTRIA	Maîtrise dans un domaine artistique ou technique.
MAFIEUSE	Personne liée à la mafia ; membre de la mafia.
MAGAZINE	Publication périodique, généralement illustrée.
MAGICIEN	Qui tient de la magie.
MAGISTER	Du .
MAGNOLIA	Arbre d’Amérique et d’Asie, se distinguant par ses larges feuilles et ses fleurs d’une blancheur éclatante, du genre Magnolia.
MAHARAJA	Roi en Inde, suzerain d’autres rajas.
MAHARANI	Épouse d’un maharaja.
MAHAYANA	Une des trois voies (ou véhicule) spirituelles enseignées par Bouddha.
MAHDISME	Dans la religion musulmane, croyance en la venue du mahdi.
MAHDISTE	Partisan, soldat de Muhammad Ahmad ibn Abd Allah Al-Mahdi.
MAHORAIS	Habitant de Mayotte (ou éventuellement personne qui en est originaire).
MAHRATTE	Relatif au peuple des Mahrattes, dans le sud de l'Inde.
MAIGREUR	État du corps des hommes et des animaux maigres.
MAIGRIOT	Plutôt maigre.
MAILINGS	Publipostages.
MAILLAGE	Macquage.
MAILLEUR	Ouvrier qui fabrique des filets de pêche.
MAILLURE	Ensemble des taches ou mouchetures qui se forment sur les plumes d’un oiseau.
MAINMISE	Saisie.
MAINTIEN	Action de maintenir.
MAIRESSE	Nom de famille.
MAITRANK	Vin aromatisé saisonnier servi en apéritif, spécialité de la région d’Arlon en Belgique, obtenu par macération de fleurs d’aspérule odorante dans du vin blanc de la Moselle luxembourgeoise.
MAJORANT	Qui majore.
MALAMUTE	Chien de traîneau originaire de l’Alaska qui possède un instinct de chasseur vivace et peut s'en prendre aux animaux des alentours comme les poules ou les canards.
MALANDRE	Lèpre.
MALAWIEN	Relatif au Malawi, État d’Afrique australe, ou à ses habitants.
MALAWITE	Habitant ou natif du Malawi.
MALAXAGE	Action de malaxer ou résultat de cette action.
MALAXEUR	Appareil servant à malaxer diverses matières, comme le béton, l’argile, le mortier, le beurre, etc.
MALDONNE	Mauvaise distribution des cartes à jouer.
MALEFAIM	Faim cruelle, dévorante.
MALEMORT	Commune française du département de la Corrèze.
MALFAIRE	Faire du mal.
MALGACHE	Habitant ou personne originaire de Madagascar.
MALHERBE	Nom de famille, porté notamment par le poète .
MALIENNE	Habitante ou originaire du Mali.
MALINGRE	Qui est d’une complexion, d’une constitution physique faible et maladive.
MALINOIS	Berger belge malinois.
MALLETTE	Petite malle.
MALMENER	Faire subir un préjudice.
MALNUTRI	Mal nourri.
MALOSSOL	Cornichon malossol.
MALOTRUE	Celle qui est mal élevée, grossière.
MALOUINE	Habitante des îles Malouines.
MALPOLIE	Personne grossière, mal éduquée.
MALTAISE	Habitante de Malte (ou femme qui en est originaire).
MALTERIE	Usine où se fait cette préparation.
MALUSSER	Soumettre à un malus.
MALVENUE	Mauvaise grâce, manifestation de mauvais vouloir, dans l’accueil de quelqu’un, dans l’acceptation d’une demande.
MAMALIGA	Plat de la cuisine de ménage roumaine, bouille de farine de maïs, semblable à la polenta.
MAMELOUK	Cavalier d'une milice qui servait de garde aux califes et dont sont issus plusieurs sultans égyptiens.
MAMMAIRE	Relatif aux mamelles.
MAMMOUTH	L’Éducation nationale.
MANADIER	Relatif aux manades.
MANAGEUR	Directeur sportif.
MANCELLE	Maison d’habitation sur un ou deux étages, souvent collée à d’autres constructions du même type. Il s’agit d’une spécificité urbaine du Mans.
MANCHEGO	habitant de la Manche (région historique d’Espagne)
MANCHOIS	Habitant du département français de la Manche.
MANCHOTE	Manchot femelle.
MANDANTE	Celle qui (personne physique ou morale), par un mandat, donne pouvoir à un autre d’agir en son nom.
MANDARIN	Canard mandarin.
MANDATER	Munir quelqu’un d’un mandat.
MANDCHOU	Membre de l’ethnie dirigeante de l’ancienne , originaire de Mandchourie.
MANDILLE	Veste portée autrefois par les laquais et les personnes de basse condition.
MANDORLE	Figure en amande, délimitée par la partie commune de deux cercles de même diamètre se chevauchant, dans laquelle sont représentés des personnages sacrés.
MANDRILL	Espèce de grand singe africain, de la famille des babouins, dont la face est sillonnée, et chez le mâle rouge et bleue.
MANDRINE	Habitante de Mandres-la-Côte, commune française située dans le département de la Haute-Marne.
MANGABEY	Une des espèces de singes de l'Ancien Monde faisant partie de plusieurs genres de la famille des cercopithécidés.
MANGERIE	Action de manger.
MANGEURE	Endroit mangé d’une étoffe, d’un pain, etc.
MANGEUSE	Celle qui mange.
MANGLIER	Nom collectif d’arbres de la famille des magnolias, qui croissent au bord de la mer, dans l’Amérique méridionale et dans l’Inde, et parmi lesquels on distingue le palétuvier.
MANGROVE	Formation végétale caractéristique des régions littorales de la zone tropicale, constituée de palétuviers et, selon les zones géographiques, d’espèces végétales variées.
MANGUIER	Grand arbre de la famille des Anacardiacées, à cime étalée, originaire d’Asie méridionale (Inde et Birmanie), que l’on cultive dans des régions tropicales et subtropicales pour ses fruits, les mangues, verdâtres, jaunes, rouges ou noirs, sont savoureux et d’une odeur agréable.
MANIABLE	Que l’on peut faire fonctionner aisément.
MANIAQUE	Qui manifeste une manie.
MANIEUSE	Celle qui manie.
MANIFOLD	Grand carnet.
MANILLON	As, au jeu de manille.
MANIPULE	Poignée de fleurs, de plantes médicinales.
MANIVEAU	Petit panier plat dʼosier, sur lequel on range certains comestibles destinés à la vente.
MANNETTE	Petit panier d’osier.
MANNITOL	de formule chimique , utilisé comme médicament ainsi que comme excipient et édulcorant pour son goût sucré.
MANOQUER	Lier les mains, menotter quelqu'un.
MANOSTAT	Dispositif destiné à actionner des commandes en fonction de la pression d’un fluide ou d’un gaz, permettant notamment de la réguler entre deux valeurs ou de la rendre constante.
MANOUCHE	Membre d’un groupe ethnique qui vit plutôt dans le Nord de la France et dans l’espace germanophone, du moins à l’origine.
MANQUANT	Personne qui manque.
MANSARDE	Chambre, logement pratiquée sous un comble brisé. Souvent synonyme autrefois de chambre de mauvaise qualité, réservée aux pauvres ou aux domestiques.
MANTELET	Laminaire du genre Laminaria cloustonii.
MANTILLE	Diverses imitations de cette pièce de toilette.
MANTIQUE	Pratiques divinatoires.
MANTISSE	Partie de la notation scientifique comportant les chiffres significatifs, lors de l’écriture d'un nombre à virgule flottante.
MANTOUAN	Habitant de la ville de Mantoue, personne originaire de cette ville.
MANUCURE	Vernis à ongles.
MAPUCHES	Ethnie présente principalement au Chili et en Argentine.
MAPUTAIS	Qui se rapporte à la ville de Maputo, capitale du Mozambique.
MAQUETTE	Modèle réduit d'un objet reproduit à l'échelle.
MAQUILLE	Tricherie qui consiste à marquer les cartes à jouer.
MARABOUT	Ruban de gaze fine.
MARACUJA	Fruit de la grenadille ou fruit de la passion.
MARASQUE	Espèce de cerise acide avec laquelle on fait le marasquin.
MARATHON	Ville et dème de la côte nord-est de l’Attique, en Grèce.
MARAUDER	Pratiquer la maraude.
MARBREUR	Celui qui marbre du papier, ou des tranches ou couvertures de livres (leur donne les teintes et les motifs du marbre).
MARBRIER	Relatif au travail du marbre.
MARBRURE	Marques semblables aux veines du marbre.
MARCAIRE	Relatif au marcaire
MARCHAIS	Nom de famille.
MARCHAND	Nom de famille.
MARCHEUR	Viveur, qui fait la noce.
MARCOTTE	Nom de famille.
MARECHAL	Nom de famille.
MARENNES	Huître provenant du bassin de Marennes-Oléron, sur le littoral de la Charente-Maritime, qui bénéficie depuis 2009 d’une Indication Géographique Protégée.
MAREYAGE	Activité du mareyeur orientée vers l’écoulement des produits frais de la pêche, incluant au besoin le stockage de la marée grâce au progrès réalisé par le froid industriel, après différentes opérations de vidage, lavage, mise en chambre froide.
MAREYEUR	Celui qui vend du poisson de mer.
MARGELLE	Toute chose évoquant une margelle.
MARGEOIR	Plaque de fonte qui sert à boucher les deux soupiraux dans un four de fusion destiné à la fabrication des glaces.
MARGEUSE	Ouvrière qui place les feuilles sur le rouleau, à l’endroit convenable, avant leur passage sur la forme.
MARGINAL	Relatif à la marge anale.
MARGINER	Annoter dans la marge (un livre, une partition, etc.).
MARGOTAT	Sorte de bateau à fond plat qui circulait sur la rivière Yonne et la petite Seine.
MARGOTIN	Petit fagot.
MARGRAVE	Titre donné autrefois à quelques princes souverains, en Allemagne et en Autriche.
MARIABLE	Qui est en état ou en âge d’être marié ou mariée.
MARIACHI	Formation musicale originaire du Mexique.
MARIEUSE	Femme arrangeant un mariage.
MARINADE	Viande ou légume mariné & frit à la poêle.
MARINAGE	Action de mariner.
MARINIER	Nom de famille
MARISQUE	Tuméfaction fibreuse du pourtour de l’anus, reliquat d’une hémorroïde desséchée.
MARITIME	Qui a rapport aux marins.
MARMITER	Bombarder.
MARMITON	Jeune aide de cuisine.
MARMOTTE	Habitante de Saint-Geniez-d’Olt, commune française située dans le département de l’Aveyron.
MARNAISE	Habitante de La Marne, commune française située dans le département de la Loire-Atlantique.
MARNEUSE	Ouvrière qui travaille dans une marnière.
MAROCAIN	Restaurant marocain.
MAROLLES	Synonyme de maroilles (fromage).
MARONAGE	Coupe de merrain dans une forêt.
MARONITE	Catholique du rite syrien, dont le siège principal est au Liban.
MARONNAI	Garde-malade.
MARONNER	Miauler.
MAROQUIN	Objet en maroquin.
MAROUFLE	Maraud, homme grossier.
MARQUAGE	Fait de marquer, ou résultat de cette action.
MARQUAIS	Habitant de Marques, commune française située dans le département de la Seine-Maritime.
MARQUANT	Nom de famille.
MARQUEUR	Celui qui marque.
MARQUISE	Nom de famille.
MARQUOIR	Tableau d’affichage des scores au polo.
MARRAINE	Mère du parrain.
MARRANTE	Celle qui est amusante, drôle.
MARRONNE	Femme travaillant illégalement.
MARSANNE	Commune française, située dans le département de la Drôme.
MARSAULT	Synonyme de .
MARSOUIN	Nom de famille.
MARTAGON	Lis à fleurs d'un rouge violacé, tachées de pourpre.
MARTEAUX	Nom de famille.
MARTELER	Donner des coups répétés.
MARTELET	Petit marteau dont on se sert pour des ouvrages délicats.
MARTINET	Hameau de .
MARXISER	Faire devenir marxiste.
MARXISME	Idéologie communiste telle que professée par Karl Marx ou ses adeptes.
MARXISTE	Relatif à Karl Marx ou appuyant la doctrine de Karl Marx.
MARYLAND	Cigarette fabriquée avec ce tabac.
MASCARET	Raz de marée.
MASCARON	Obturateur destiné à boucher un trou prévu pour la pose d'un robinet sur un lavabo, baignoire, etc.
MASCOTTE	Être, personne, animal, poupée, objets divers servant de porte-bonheur ou d’emblème.
MASCULIN	Homme (individu de sexe masculin).
MASQUAGE	Redéfinition.
MASQUANT	Qui masque, soustrait à la vue.
MASSACRE	Action de massacrer.
MASSERIA	Bâtisse au cœur d’une propriété agricole familiale isolée du sud de l’Italie.
MASSETTE	Baguette de tambourin.
MASSEUSE	Prostituée.
MASSICOT	Guillotine.
MASSIQUE	Relatif à la masse.
MASTAIRE	Grade universitaire.
MATAMATA	Espèce de tortue d’eau douce d’Amérique du Sud, remarquable par ses capacités de camouflage.
MATAMORE	Un des personnages de la commedia dell’arte
MATEFAIM	Crêpe épaisse et nourrissante faite de farine, œufs, eau et fromage de type comté, il en existe de nombreuses variantes sucrées ou salées.
MATELOTE	Épouse d’un matelot.
MATERNEL	Qualifie un comportement de mère.
MATERNER	Prendre soin d’un enfant en tant que sa mère, ou comme une mère.
MATHEUSE	Femme qui aime et étudie les mathématiques.
MATIFIER	Rendre mat.
MATINALE	Émission radiophonique ou télévisée diffusée en début de matinée.
MATINEUX	Qui a l’habitude de se lever tôt le matin, matinal.
MATINIER	Qui appartient au matin.
MATORRAL	Fourré, zone occupée par des buissons et des broussailles en milieu de type méditerranéen.
MATOSSER	Déplacer du matériel (matos) à bord d’une embarcation afin d’améliorer son assiette (équilibre) en fonction des conditions rencontrées ou prévues.
MATOUTOU	Synonyme de matété (plat à base de crabe).
MATRAQUE	Canne de promenade.
MATRICER	Faire preuve de miséricorde.
MATURASE	Enzyme intervenant dans la maturation de l’ARN prémessager.
MAURELLE	Tournesol des teinturiers, '.
MAURISTE	Moine bénédictin français, d'une congrégation connue pour le haut niveau de son érudition.
MAUSSADE	Qui est terne, triste et gris.
MAXIMANT	Qui atteint le maximum.
MAZAGRAN	Ville de l’ouest de l’Algérie, limitrophe de Mostaganem.
MAZOUTER	Faire le plein de mazout.
MEDIATOR	Nom sous lequel a été commercialisé entre 1976 et 2009 le benfluorex.
MEILLEUR	La meilleure partie d’une chose ou d’un être.
MEKNASSI	Relatif à Meknès, ville du Maroc, ou à ses habitants.
MELCHIOR	Grosse bouteille de vin d'une contenance de 18 litres, c'est à dire 24 bouteilles de 75 centilitres.
MELCHITE	Relatif aux melchites.
MELUNAIS	Habitant de la ville de Melun, dans le département de la Seine-et-Marne, en France.
MEMBRANE	Enveloppe de certaines parties d’une plante.
